control_id,level,domain,title,requirement,verification_requirement,required_platform_level,platform_capabilities,evidence,verification_method,verification_frequency,automation_type,automation_maturity,automation_check_type,machine_readable_evidence_required,automation_rationale,policy_candidate,policy_rule,waiver_allowed,waiver_authority
DSCB-L1-REQ-001,L1,traceability,Traceability,All software components SHALL be traceable to defined system or software requirements and the corresponding Testcases and Reports.,Each release candidate SHALL provide machine-readable traceability records linking software components to defined system or software requirements and corresponding test cases or reports.,PRA-Level 1,evidence_and_traceability_layer; traceability_database; pipeline_audit_logs,requirements_traceability_records; configuration_management_records,hybrid,release_candidate,evidence_check,tool_integration_required,linkage,true,"Traceability can be checked through ALM, repository, pipeline, and evidence links.",false,,true,DevSecOps Governance Board
DSCB-L1-REQ-002,L1,source_code_integrity,Source Code Integrity,All software source code SHALL be maintained in approved version control systems and changes SHALL be traceable to an identifiable author.,Each repository SHALL provide machine-readable commit and author metadata showing that source code changes are maintained in an approved version control system and attributable to an identifiable author.,PRA-Level 1,approved_version_control; code_review; branch_protection; repository_audit_log,commit_history; code_review_records; branch_protection_configuration,automated,release_candidate,evidence_check,immediate,configuration,true,Approved VCS and author traceability can be checked through repository metadata.,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-003,L1,source_code_integrity,Source Code Integrity,Direct modification of protected branches SHALL be prohibited.,Protected branch configuration SHALL show that direct pushes are disabled and changes require the defined integration workflow.,PRA-Level 1,approved_version_control; code_review; branch_protection; repository_audit_log,commit_history; code_review_records; branch_protection_configuration,automated,release_candidate,blocking_gate,immediate,configuration,true,Protected branch direct modification is objectively enforceable.,true,policies/opa/branch_protection.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-004,L1,secure_coding_practices,Secure Coding Practices,Secure coding practices SHALL be applied and security-relevant coding errors SHALL be detected during development or testing.,"Each releasable software change SHALL provide secure coding evidence, including configured static analysis results and code review records for the applicable technology stack.",PRA-Level 1,static_code_analysis; code_review; secure_coding_guidance,static_code_analysis_reports; code_review_documentation,hybrid,release_candidate,evidence_check,tool_integration_required,presence,true,"Secure coding cannot be fully judged automatically, but SAST and review evidence can be checked.",false,,true,DevSecOps Governance Board
DSCB-L1-REQ-005,L1,software_supply_chain_transparency,Software Supply Chain Transparency,All software dependencies SHALL be identifiable and documented.,Each release candidate SHALL provide a machine-readable dependency inventory or SBOM covering the software dependencies included in the artifact.,PRA-Level 1,dependency_inventory; sbom_generation; dependency_scanning; evidence_repository,sbom; dependency_scan_reports,automated,release_candidate,evidence_check,immediate,presence,true,Dependency inventory can be checked through SBOM or dependency scan evidence.,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-006,L1,software_supply_chain_transparency,Software Supply Chain Transparency,A Software Bill of Materials (SBOM) SHALL be generated for releasable artifacts.,Each release candidate SHALL provide a machine-readable SBOM linked to the releasable artifact identifier.,PRA-Level 1,dependency_inventory; sbom_generation; dependency_scanning; evidence_repository,sbom; dependency_scan_reports,automated,release_candidate,blocking_gate,immediate,linkage,true,SBOM presence and artifact linkage can be enforced for release candidates.,true,policies/opa/sbom_required.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-007,L1,controlled_build_process,Controlled Build Process,Software builds SHALL be executed through controlled automated pipelines.,Each release candidate SHALL provide pipeline execution evidence showing that build activities were executed through controlled automated pipelines.,PRA-Level 1,automated_pipeline_execution; build_pipeline_logging; artifact_versioning,build_pipeline_logs; artifact_version_identifiers,automated,release_candidate,evidence_check,immediate,presence,true,Pipeline execution evidence can prove automated builds.,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-008,L1,controlled_build_process,Controlled Build Process,Build outputs SHALL be uniquely identifiable.,"Each build output SHALL provide artifact metadata containing a unique artifact identifier, version, digest, or equivalent repository identifier.",PRA-Level 1,automated_pipeline_execution; build_pipeline_logging; artifact_versioning,build_pipeline_logs; artifact_version_identifiers,automated,release_candidate,evidence_check,immediate,presence,true,Artifact identifiers can be checked through artifact metadata.,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-009,L1,vulnerability_identification,Vulnerability Identification,Automated vulnerability scanning SHALL be performed during build or test stages.,Each build or release candidate SHALL provide machine-readable vulnerability scan evidence from the build or test stage.,PRA-Level 1,vulnerability_scanning; vulnerability_assessment; pipeline_evidence_generation,vulnerability_scan_reports; vulnerability_assessment_documentation,automated,release_candidate,blocking_gate,immediate,presence,true,Vulnerability scan presence can be enforced in the pipeline.,true,policies/opa/vulnerability_gate.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-010,L1,vulnerability_identification,Vulnerability Identification,Identified vulnerabilities SHALL be evaluated prior to release.,Each release candidate SHALL provide vulnerability assessment evidence showing that identified vulnerabilities were evaluated or covered by an approved waiver before release.,PRA-Level 1,vulnerability_scanning; vulnerability_assessment; pipeline_evidence_generation,vulnerability_scan_reports; vulnerability_assessment_documentation,automated,release_candidate,blocking_gate,tool_integration_required,threshold,true,Release can be blocked for unacceptable findings without approved waiver.,true,policies/opa/vulnerability_gate.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-011,L1,artifact_integrity,Artifact Integrity,"Releasable software artifacts SHALL be protected against tampering by approved repository integrity controls and cryptographic integrity mechanisms such as checksums, digests, or signatures, as applicable to the required control baseline level.","Each releasable artifact SHALL provide integrity evidence such as checksum, digest, repository integrity metadata, or signature linked to the artifact identifier.",PRA-Level 1,artifact_repository_integrity; checksum_or_digest_records; artifact_metadata_management,artifact_signature_records; artifact_repository_metadata; artifact_checksum_or_digest_records,automated,release_candidate,blocking_gate,immediate,integrity,true,"Artifact digest, checksum, or signature evidence can be enforced.",true,policies/opa/artifact_integrity.rego,true,DevSecOps Governance Board
DSCB-L1-REQ-012,L1,artifact_integrity,Artifact Integrity,Artifacts SHALL be uniquely identifiable.,Each artifact SHALL provide repository metadata proving a unique and stable artifact identity.,PRA-Level 1,artifact_repository_integrity; checksum_or_digest_records; artifact_metadata_management,artifact_signature_records; artifact_repository_metadata; artifact_checksum_or_digest_records,automated,release_candidate,evidence_check,immediate,presence,true,Artifact identity can be checked through repository metadata.,false,,true,DevSecOps Governance Board
DSCB-L1-REQ-013,L1,release_authorization,Release Authorization,Deployment of software artifacts SHALL require authorized approval.,"Each deployment or release candidate SHALL provide approval evidence linked to the artifact, release, or deployment record.",PRA-Level 1,release_approval_workflow; deployment_logging; approved_artifact_selection,release_approval_records; deployment_logs,hybrid,release_candidate,evidence_check,tool_integration_required,approval,true,Release approval evidence can be checked through workflow or environment approvals.,false,,true,DevSecOps Governance Board
