gap_id,category,severity,subject,location,summary,recommended_action
GAP-POL-DSCB-L1-REQ-002,policy_automation_candidate,low,DSCB-L1-REQ-002,controls/dscb-l1.yaml,DSCB-L1-REQ-002 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L1-REQ-005,policy_automation_candidate,low,DSCB-L1-REQ-005,controls/dscb-l1.yaml,DSCB-L1-REQ-005 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L1-REQ-007,policy_automation_candidate,low,DSCB-L1-REQ-007,controls/dscb-l1.yaml,DSCB-L1-REQ-007 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L1-REQ-008,policy_automation_candidate,low,DSCB-L1-REQ-008,controls/dscb-l1.yaml,DSCB-L1-REQ-008 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L1-REQ-012,policy_automation_candidate,low,DSCB-L1-REQ-012,controls/dscb-l1.yaml,DSCB-L1-REQ-012 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L1-REQ-015,policy_automation_candidate,low,DSCB-L1-REQ-015,controls/dscb-l1.yaml,DSCB-L1-REQ-015 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L2-REQ-003,policy_automation_candidate,low,DSCB-L2-REQ-003,controls/dscb-l2.yaml,DSCB-L2-REQ-003 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L2-REQ-005,policy_automation_candidate,low,DSCB-L2-REQ-005,controls/dscb-l2.yaml,DSCB-L2-REQ-005 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L2-REQ-008,policy_automation_candidate,low,DSCB-L2-REQ-008,controls/dscb-l2.yaml,DSCB-L2-REQ-008 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L2-REQ-013,policy_automation_candidate,low,DSCB-L2-REQ-013,controls/dscb-l2.yaml,DSCB-L2-REQ-013 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L2-REQ-014,policy_automation_candidate,low,DSCB-L2-REQ-014,controls/dscb-l2.yaml,DSCB-L2-REQ-014 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
GAP-POL-DSCB-L3-REQ-003,policy_automation_candidate,low,DSCB-L3-REQ-003,controls/dscb-l3.yaml,DSCB-L3-REQ-003 uses automated verification but is not yet modeled as a policy-as-code candidate.,Review whether this control should remain evidence-only or be promoted into an executable policy candidate.
